#      x          Cp  
     1.00000    0.41990
     0.99182    0.22572
     0.98069    0.16347
     0.96777    0.10968
     0.95342    0.06439
     0.93812    0.02678
     0.92226   -0.00743
     0.90612   -0.03819
     0.88983   -0.06597
     0.87345   -0.09211
     0.85704   -0.11651
     0.84060   -0.13980
     0.82414   -0.16194
     0.80767   -0.18342
     0.79119   -0.20371
     0.77470   -0.22398
     0.75821   -0.24436
     0.74171   -0.26342
     0.72520   -0.28261
     0.70870   -0.30210
     0.69219   -0.32127
     0.67568   -0.34010
     0.65917   -0.35924
     0.64267   -0.37845
     0.62617   -0.39771
     0.60967   -0.41731
     0.59318   -0.43693
     0.57670   -0.45693
     0.56023   -0.47696
     0.54377   -0.49784
     0.52732   -0.51889
     0.51089   -0.53992
     0.49448   -0.56210
     0.47808   -0.58432
     0.46170   -0.60727
     0.44535   -0.63068
     0.42902   -0.65510
     0.41272   -0.67990
     0.39645   -0.70572
     0.38021   -0.73248
     0.36402   -0.76006
     0.34786   -0.78892
     0.33175   -0.81908
     0.31570   -0.85066
     0.29970   -0.88432
     0.28378   -0.91970
     0.26794   -0.95798
     0.25220   -0.99953
     0.23662   -1.04571
     0.22125   -1.09877
     0.20621   -1.16479
     0.19171   -1.26455
     0.17769   -1.32359
     0.16398   -1.37076
     0.15054   -1.40833
     0.13735   -1.43944
     0.12445   -1.46464
     0.11188   -1.48440
     0.09974   -1.50033
     0.08812   -1.51244
     0.07715   -1.52078
     0.06698   -1.52725
     0.05770   -1.53108
     0.04940   -1.53445
     0.04209   -1.53530
     0.03571   -1.53620
     0.03018   -1.53520
     0.02539   -1.53231
     0.02124   -1.52659
     0.01765   -1.51803
     0.01453   -1.50297
     0.01181   -1.48212
     0.00944   -1.45106
     0.00739   -1.40858
     0.00562   -1.34694
     0.00411   -1.26539
     0.00285   -1.15517
     0.00182   -1.01257
     0.00103   -0.83000
     0.00046   -0.61011
     0.00012   -0.35743
     0.00000   -0.09174
     0.00009    0.17523
     0.00041    0.43837
     0.00100    0.67128
     0.00188    0.84728
     0.00304    0.95374
     0.00447    0.99696
     0.00619    0.99286
     0.00817    0.95828
     0.01043    0.90700
     0.01299    0.84838
     0.01587    0.78735
     0.01911    0.72794
     0.02276    0.67120
     0.02692    0.61825
     0.03167    0.56949
     0.03713    0.52400
     0.04348    0.48320
     0.05089    0.44599
     0.05956    0.41270
     0.06965    0.38356
     0.08124    0.35807
     0.09426    0.33655
     0.10853    0.31766
     0.12377    0.30124
     0.13971    0.28584
     0.15608    0.27040
     0.17260    0.25369
     0.18903    0.23386
     0.20522    0.19883
     0.22122    0.17455
     0.23719    0.15788
     0.25320    0.14446
     0.26928    0.13340
     0.28541    0.12400
     0.30162    0.11657
     0.31789    0.11000
     0.33422    0.10487
     0.35060    0.10045
     0.36703    0.09655
     0.38351    0.09376
     0.40002    0.09140
     0.41658    0.08947
     0.43317    0.08819
     0.44979    0.08709
     0.46644    0.08629
     0.48312    0.08626
     0.49983    0.08581
     0.51656    0.08615
     0.53330    0.08646
     0.55007    0.08696
     0.56686    0.08770
     0.58366    0.08848
     0.60047    0.08972
     0.61730    0.09063
     0.63414    0.09190
     0.65099    0.09346
     0.66785    0.09464
     0.68472    0.09697
     0.70159    0.09848
     0.71846    0.10020
     0.73534    0.10260
     0.75222    0.10500
     0.76911    0.10759
     0.78599    0.11021
     0.80287    0.11420
     0.81974    0.11688
     0.83661    0.12182
     0.85347    0.12633
     0.87031    0.13181
     0.88711    0.13843
     0.90384    0.14617
     0.92042    0.15605
     0.93670    0.16749
     0.95242    0.18322
     0.96714    0.20339
     0.98035    0.23180
     0.99170    0.26964
     1.00000    0.41990
