#      x          Cp  
     1.00000    0.42283
     0.99485    0.28597
     0.98822    0.24693
     0.98083    0.21640
     0.97270    0.19372
     0.96390    0.17515
     0.95456    0.15957
     0.94481    0.14622
     0.93475    0.13465
     0.92449    0.12451
     0.91410    0.11555
     0.90361    0.10756
     0.89307    0.10037
     0.88249    0.09387
     0.87188    0.08795
     0.86126    0.08253
     0.85062    0.07753
     0.83998    0.07291
     0.82933    0.06861
     0.81868    0.06461
     0.80802    0.06086
     0.79736    0.05734
     0.78670    0.05403
     0.77604    0.05090
     0.76537    0.04794
     0.75471    0.04514
     0.74404    0.04247
     0.73337    0.03994
     0.72271    0.03752
     0.71204    0.03522
     0.70137    0.03302
     0.69071    0.03092
     0.68004    0.02890
     0.66938    0.02698
     0.65872    0.02515
     0.64806    0.02339
     0.63740    0.02171
     0.62675    0.02011
     0.61610    0.01859
     0.60546    0.01714
     0.59481    0.01577
     0.58418    0.01448
     0.57354    0.01326
     0.56292    0.01213
     0.55229    0.01108
     0.54168    0.01012
     0.53107    0.00924
     0.52047    0.00846
     0.50987    0.00777
     0.49929    0.00719
     0.48871    0.00672
     0.47814    0.00637
     0.46758    0.00614
     0.45703    0.00604
     0.44649    0.00608
     0.43596    0.00628
     0.42545    0.00663
     0.41495    0.00715
     0.40446    0.00786
     0.39398    0.00877
     0.38352    0.00988
     0.37308    0.01123
     0.36265    0.01283
     0.35224    0.01468
     0.34185    0.01682
     0.33148    0.01927
     0.32114    0.02205
     0.31081    0.02518
     0.30051    0.02870
     0.29024    0.03263
     0.28000    0.03702
     0.26979    0.04189
     0.25961    0.04729
     0.24946    0.05326
     0.23936    0.05986
     0.22930    0.06713
     0.21929    0.07514
     0.20932    0.08396
     0.19942    0.09365
     0.18958    0.10430
     0.17981    0.11600
     0.17013    0.12885
     0.16053    0.14296
     0.15105    0.15844
     0.14169    0.17541
     0.13248    0.19401
     0.12344    0.21436
     0.11461    0.23659
     0.10603    0.26078
     0.09773    0.28700
     0.08976    0.31528
     0.08218    0.34557
     0.07501    0.37776
     0.06830    0.41168
     0.06206    0.44710
     0.05630    0.48376
     0.05101    0.52141
     0.04617    0.55977
     0.04174    0.59861
     0.03771    0.63769
     0.03403    0.67680
     0.03067    0.71569
     0.02760    0.75414
     0.02478    0.79185
     0.02220    0.82848
     0.01983    0.86359
     0.01764    0.89665
     0.01563    0.92696
     0.01377    0.95365
     0.01206    0.97561
     0.01049    0.99145
     0.00903    0.99944
     0.00770    0.99745
     0.00648    0.98296
     0.00537    0.95300
     0.00437    0.90426
     0.00348    0.83324
     0.00268    0.73664
     0.00200    0.61174
     0.00141    0.45713
     0.00093    0.27338
     0.00055    0.06332
     0.00028   -0.16761
     0.00010   -0.41280
     0.00001   -0.66206
     0.00001   -0.91517
     0.00010   -1.17390
     0.00028   -1.42794
     0.00055   -1.66679
     0.00093   -1.87949
     0.00141   -2.06154
     0.00200   -2.20920
     0.00268   -2.32227
     0.00348   -2.40325
     0.00437   -2.45525
     0.00537   -2.48289
     0.00648   -2.49012
     0.00770   -2.48079
     0.00903   -2.45880
     0.01049   -2.42654
     0.01206   -2.38661
     0.01377   -2.34106
     0.01563   -2.29122
     0.01764   -2.23816
     0.01983   -2.18309
     0.02220   -2.12650
     0.02478   -2.06888
     0.02760   -2.01074
     0.03067   -1.95235
     0.03403   -1.89392
     0.03771   -1.83571
     0.04174   -1.77783
     0.04617   -1.72052
     0.05101   -1.66394
     0.05630   -1.60833
     0.06206   -1.55394
     0.06830   -1.50100
     0.07501   -1.44980
     0.08218   -1.40053
     0.08976   -1.35340
     0.09773   -1.30851
     0.10603   -1.26589
     0.11461   -1.22552
     0.12344   -1.18731
     0.13248   -1.15114
     0.14169   -1.11689
     0.15105   -1.08438
     0.16053   -1.05349
     0.17013   -1.02408
     0.17981   -0.99600
     0.18958   -0.96914
     0.19942   -0.94340
     0.20932   -0.91867
     0.21929   -0.89488
     0.22930   -0.87193
     0.23936   -0.84979
     0.24946   -0.82836
     0.25961   -0.80760
     0.26979   -0.78747
     0.28000   -0.76793
     0.29024   -0.74892
     0.30051   -0.73043
     0.31081   -0.71242
     0.32114   -0.69484
     0.33148   -0.67771
     0.34185   -0.66097
     0.35224   -0.64462
     0.36265   -0.62862
     0.37308   -0.61297
     0.38352   -0.59765
     0.39398   -0.58264
     0.40446   -0.56793
     0.41495   -0.55350
     0.42545   -0.53935
     0.43596   -0.52545
     0.44649   -0.51181
     0.45703   -0.49839
     0.46758   -0.48522
     0.47814   -0.47225
     0.48871   -0.45949
     0.49929   -0.44694
     0.50987   -0.43457
     0.52047   -0.42238
     0.53107   -0.41037
     0.54168   -0.39851
     0.55229   -0.38681
     0.56292   -0.37525
     0.57354   -0.36384
     0.58418   -0.35254
     0.59481   -0.34137
     0.60546   -0.33030
     0.61610   -0.31934
     0.62675   -0.30847
     0.63740   -0.29767
     0.64806   -0.28695
     0.65872   -0.27628
     0.66938   -0.26567
     0.68004   -0.25509
     0.69071   -0.24454
     0.70137   -0.23400
     0.71204   -0.22345
     0.72271   -0.21289
     0.73337   -0.20230
     0.74404   -0.19166
     0.75471   -0.18095
     0.76537   -0.17015
     0.77604   -0.15924
     0.78670   -0.14820
     0.79736   -0.13700
     0.80802   -0.12560
     0.81868   -0.11398
     0.82933   -0.10209
     0.83998   -0.08990
     0.85062   -0.07734
     0.86126   -0.06435
     0.87188   -0.05087
     0.88249   -0.03681
     0.89307   -0.02206
     0.90361   -0.00651
     0.91410    0.00999
     0.92449    0.02763
     0.93475    0.04662
     0.94481    0.06723
     0.95456    0.08980
     0.96390    0.11478
     0.97270    0.14293
     0.98083    0.17535
     0.98822    0.21636
     0.99485    0.26511
     1.00000    0.42283
