#      x          Cp  
     1.00000    0.41752
     0.99485    0.26606
     0.98822    0.22046
     0.98083    0.18298
     0.97270    0.15390
     0.96390    0.12908
     0.95456    0.10740
     0.94481    0.08809
     0.93475    0.07070
     0.92449    0.05489
     0.91410    0.04037
     0.90361    0.02695
     0.89307    0.01445
     0.88249    0.00271
     0.87188   -0.00837
     0.86126   -0.01889
     0.85062   -0.02893
     0.83998   -0.03856
     0.82933   -0.04782
     0.81868   -0.05678
     0.80802   -0.06547
     0.79736   -0.07392
     0.78670   -0.08216
     0.77604   -0.09023
     0.76537   -0.09815
     0.75471   -0.10593
     0.74404   -0.11360
     0.73337   -0.12117
     0.72271   -0.12865
     0.71204   -0.13607
     0.70137   -0.14344
     0.69071   -0.15075
     0.68004   -0.15803
     0.66938   -0.16529
     0.65872   -0.17253
     0.64806   -0.17976
     0.63740   -0.18699
     0.62675   -0.19423
     0.61610   -0.20148
     0.60546   -0.20874
     0.59481   -0.21603
     0.58418   -0.22335
     0.57354   -0.23071
     0.56292   -0.23809
     0.55229   -0.24552
     0.54168   -0.25300
     0.53107   -0.26053
     0.52047   -0.26810
     0.50987   -0.27573
     0.49929   -0.28342
     0.48871   -0.29117
     0.47814   -0.29897
     0.46758   -0.30685
     0.45703   -0.31478
     0.44649   -0.32278
     0.43596   -0.33085
     0.42545   -0.33899
     0.41495   -0.34719
     0.40446   -0.35546
     0.39398   -0.36381
     0.38352   -0.37222
     0.37308   -0.38071
     0.36265   -0.38926
     0.35224   -0.39788
     0.34185   -0.40657
     0.33148   -0.41533
     0.32114   -0.42415
     0.31081   -0.43304
     0.30051   -0.44200
     0.29024   -0.45101
     0.28000   -0.46009
     0.26979   -0.46922
     0.25961   -0.47841
     0.24946   -0.48766
     0.23936   -0.49696
     0.22930   -0.50630
     0.21929   -0.51570
     0.20932   -0.52512
     0.19942   -0.53459
     0.18958   -0.54409
     0.17981   -0.55360
     0.17013   -0.56314
     0.16053   -0.57267
     0.15105   -0.58218
     0.14169   -0.59167
     0.13248   -0.60107
     0.12344   -0.61038
     0.11461   -0.61953
     0.10603   -0.62845
     0.09773   -0.63708
     0.08976   -0.64529
     0.08218   -0.65299
     0.07501   -0.66004
     0.06830   -0.66629
     0.06206   -0.67162
     0.05630   -0.67587
     0.05101   -0.67892
     0.04617   -0.68064
     0.04174   -0.68087
     0.03771   -0.67949
     0.03403   -0.67630
     0.03067   -0.67113
     0.02760   -0.66374
     0.02478   -0.65386
     0.02220   -0.64120
     0.01983   -0.62532
     0.01764   -0.60579
     0.01563   -0.58217
     0.01377   -0.55372
     0.01206   -0.51978
     0.01049   -0.47965
     0.00903   -0.43239
     0.00770   -0.37701
     0.00648   -0.31280
     0.00537   -0.23874
     0.00437   -0.15428
     0.00348   -0.05930
