#      x          Cp  
     1.00000   -0.46234
     0.99347   -0.46367
     0.98484   -0.46533
     0.97503   -0.46734
     0.96415   -0.46965
     0.95241   -0.47224
     0.94005   -0.47505
     0.92730   -0.47804
     0.91432   -0.48116
     0.90118   -0.48440
     0.88797   -0.48771
     0.87471   -0.49111
     0.86141   -0.49453
     0.84810   -0.49803
     0.83478   -0.50158
     0.82145   -0.50520
     0.80811   -0.50888
     0.79477   -0.51263
     0.78142   -0.51646
     0.76808   -0.52038
     0.75473   -0.52438
     0.74137   -0.52847
     0.72802   -0.53266
     0.71467   -0.53694
     0.70132   -0.54133
     0.68797   -0.54582
     0.67463   -0.55040
     0.66128   -0.55510
     0.64794   -0.55990
     0.63460   -0.56481
     0.62127   -0.56984
     0.60795   -0.57499
     0.59463   -0.58028
     0.58131   -0.58571
     0.56801   -0.59128
     0.55471   -0.59701
     0.54142   -0.60290
     0.52815   -0.60896
     0.51488   -0.61518
     0.50163   -0.62158
     0.48839   -0.62818
     0.47516   -0.63498
     0.46195   -0.64203
     0.44875   -0.64932
     0.43558   -0.65688
     0.42242   -0.66471
     0.40928   -0.67282
     0.39616   -0.68121
     0.38307   -0.68991
     0.37000   -0.69893
     0.35696   -0.70830
     0.34395   -0.71805
     0.33097   -0.72819
     0.31802   -0.73876
     0.30511   -0.74979
     0.29225   -0.76133
     0.27942   -0.77340
     0.26665   -0.78607
     0.25393   -0.79935
     0.24127   -0.81331
     0.22867   -0.82801
     0.21615   -0.84352
     0.20371   -0.85990
     0.19137   -0.87710
     0.17914   -0.89505
     0.16704   -0.91381
     0.15509   -0.93345
     0.14333   -0.95418
     0.13179   -0.97645
     0.12053   -1.00067
     0.10961   -1.02855
     0.09912   -1.06354
     0.08913   -1.10739
     0.07974   -0.99570
     0.07103   -1.19643
     0.06305   -1.37291
     0.05582   -1.53291
     0.04932   -1.68180
     0.04350   -1.82357
     0.03832   -2.02198
     0.03370   -2.24936
     0.02958   -2.49832
     0.02589   -2.77246
     0.02258   -3.08669
     0.01960   -3.48258
     0.01692   -4.04835
     0.01449   -4.84365
     0.01230   -5.51673
     0.01033   -5.53803
     0.00854   -5.56030
     0.00695   -5.59319
     0.00552   -5.65390
     0.00427   -5.77444
     0.00318   -5.97532
     0.00225   -6.24269
     0.00148   -6.44054
     0.00088   -6.48683
     0.00044   -6.36166
     0.00015   -6.07324
     0.00002   -5.65713
     0.00002   -5.16135
     0.00015   -4.58861
     0.00044   -3.94529
     0.00088   -3.27212
     0.00148   -2.60736
     0.00225   -1.98406
     0.00318   -1.42415
     0.00427   -0.93779
     0.00552   -0.52590
     0.00695   -0.18360
     0.00854    0.09680
     0.01033    0.32377
     0.01230    0.50557
     0.01449    0.64947
     0.01692    0.76192
     0.01960    0.84797
     0.02258    0.91219
     0.02589    0.95786
     0.02958    0.98800
     0.03370    1.00480
     0.03832    1.01020
     0.04350    1.00600
     0.04932    0.99299
     0.05582    0.97338
     0.06305    0.94707
     0.07103    0.91678
     0.07974    0.88281
     0.08913    0.84715
     0.09912    0.81035
     0.10961    0.77358
     0.12053    0.73747
     0.13179    0.70240
     0.14333    0.66872
     0.15509    0.63649
     0.16704    0.60582
     0.17914    0.57665
     0.19137    0.54898
     0.20371    0.52270
     0.21615    0.49780
     0.22867    0.47408
     0.24127    0.45159
     0.25393    0.43013
     0.26665    0.40973
     0.27942    0.39026
     0.29225    0.37172
     0.30511    0.35395
     0.31802    0.33690
     0.33097    0.32053
     0.34395    0.30489
     0.35696    0.28978
     0.37000    0.27529
     0.38307    0.26121
     0.39616    0.24769
     0.40928    0.23448
     0.42242    0.22177
     0.43558    0.20946
     0.44875    0.19734
     0.46195    0.18559
     0.47516    0.17412
     0.48839    0.16294
     0.50163    0.15184
     0.51488    0.14098
     0.52815    0.13032
     0.54142    0.11984
     0.55471    0.10952
     0.56801    0.09910
     0.58131    0.08886
     0.59463    0.07870
     0.60795    0.06862
     0.62127    0.05854
     0.63460    0.04847
     0.64794    0.03844
     0.66128    0.02819
     0.67463    0.01793
     0.68797    0.00763
     0.70132   -0.00273
     0.71467   -0.01318
     0.72802   -0.02378
     0.74137   -0.03458
     0.75473   -0.04553
     0.76808   -0.05672
     0.78142   -0.06812
     0.79477   -0.07984
     0.80811   -0.09205
     0.82145   -0.10456
     0.83478   -0.11732
     0.84810   -0.13054
     0.86141   -0.14440
     0.87471   -0.15789
     0.88797   -0.17242
     0.90118   -0.18785
     0.91432   -0.20482
     0.92730   -0.22284
     0.94005   -0.24216
     0.95241   -0.26269
     0.96415   -0.28480
     0.97503   -0.30800
     0.98484   -0.33341
     0.99347   -0.35616
     1.00000   -0.43585
