time,altitude,Vertical velocity (m/s),Vertical acceleration (m/s�),Total velocity (m/s),Total acceleration (m/s�),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (�),Lateral velocity (m/s),Lateral acceleration (m/s�),Latitude (�),Longitude (�),Gravitational acceleration (m/s�),Angle of attack (�),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg�m�),Rotational moment of inertia (kg�m�),CP location (cm),CG location (cm),Stability margin calibers (?),Mach number (?),Reynolds number (?),thrust,Drag force (N),CD,Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?),Roll forcing coefficient (?),Roll damping coefficient (?),Pitch damping coefficient (?),Coriolis acceleration (m/s�),Reference length (cm),Reference area (cm�),Vertical orientation (zenith) (�),Lateral orientation (azimuth) (�),Wind velocity (m/s),Air temperature (�C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
0,0,0,91.227,0,91.227,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,920.6,374.91,0.01176,0.00029802,NaN,23.545,NaN,0.006362,68515,92.997,0,0.54911,0,0.32168,0.10742,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0006002
0.01,0.0045613,0.91227,293.26,0.91227,293.26,0,0,0,0,0,0,28.61,-80.6,9.7922,67.13,0,0,0,920.6,374.91,0.01176,0.00029802,NaN,23.545,NaN,0.006896,74265,278.99,0.0004395,0.54221,0.066325,0.31479,0.10742,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0001168,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0012406
0.02,0.028368,3.8501,496.35,3.8501,496.35,0,0,0,0,0,0,28.61,-80.6,9.7922,29.294,0,0,0,918.67,372.98,0.01174,0.00029767,NaN,23.538,NaN,0.01297,139672,464.99,0.013059,0.49513,0.55718,0.26768,0.10743,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00049295,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0013738
0.03,0.091722,8.8222,696.08,8.8222,696.08,0,0,0,0,0,0,28.61,-80.6,9.7922,13.741,0,0,0,916.74,371.06,0.011719,0.00029732,NaN,23.531,NaN,0.026682,287342,647.16,0.057158,0.45328,0.57619,0.22574,0.10745,0.12009,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0011296,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.0014646
0.04,0.2148,15.796,759.04,15.796,759.04,0,0,0,0,0,0,28.61,-80.6,9.7922,7.7669,0,0,0,914.64,368.95,0.011697,0.00029694,NaN,23.523,NaN,0.046836,504382,704.25,0.15175,0.43909,0.49646,0.21129,0.10752,0.12029,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0020225,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.0063306,0.0015581
0.046331,0.33005,20.617,758.48,20.617,758.48,0,0,0,0,0,0,28.61,-80.6,9.7922,5.9612,0,0,0,912.3,366.62,0.011672,0.00029652,NaN,23.515,NaN,0.060897,655804,701.51,0.24626,0.43932,0.47658,0.21126,0.10758,0.12048,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0026396,5,19.635,90,0,NaN,14.998,1013.2,340.39,0.0048505,0.0016869
0.051181,0.43899,24.304,757.94,24.304,757.94,0,0,0,0,0,0,28.61,-80.6,9.7922,5.0624,0,0,0,910.21,364.52,0.011649,0.00029614,NaN,23.507,NaN,0.071681,771926,699.31,0.33481,0.43954,0.46766,0.21123,0.10765,0.12067,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0031118,5,19.635,90,0,NaN,14.997,1013.2,340.39,0.0041145,0.0019903
0.055296,0.54541,27.428,757.25,27.428,757.25,0,0,0,0,0,0,28.61,-80.6,9.7922,4.4974,0,0,0,908.53,362.84,0.011631,0.00029584,NaN,23.501,NaN,0.080828,870421,697.41,0.42108,0.43976,0.46257,0.2112,0.10771,0.12085,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0035118,5,19.635,90,0,NaN,14.996,1013.2,340.39,0.0036459,0.0021396
0.058942,0.65045,30.193,756.54,30.193,756.54,0,0,0,0,0,0,28.61,-80.6,9.7922,4.0943,0,0,0,907.07,361.39,0.011616,0.00029558,NaN,23.496,NaN,0.088929,957647,695.71,0.50604,0.43997,0.45925,0.21117,0.10777,0.12103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0038657,5,19.635,90,0,NaN,14.996,1013.2,340.39,0.003312,0.0022437
0.062254,0.75461,32.702,755.85,32.702,755.85,0,0,0,0,0,0,28.61,-80.6,9.7922,3.7872,0,0,0,905.77,360.08,0.011602,0.00029534,NaN,23.491,NaN,0.096283,1036831,694.15,0.59018,0.44017,0.45692,0.21114,0.10783,0.12121,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004187,5,19.635,90,0,NaN,14.995,1013.2,340.39,0.0030579,0.0023788
0.065312,0.85814,35.016,755.18,35.016,755.18,0,0,0,0,0,0,28.61,-80.6,9.7922,3.5429,0,0,0,904.58,358.89,0.011589,0.00029513,NaN,23.486,NaN,0.10307,1109885,692.7,0.67374,0.44038,0.4552,0.21111,0.10789,0.12138,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0044832,5,19.635,90,0,NaN,14.994,1013.1,340.39,0.0028559,0.0024881
0.068167,0.96123,37.175,754.53,37.175,754.53,0,0,0,0,0,0,28.61,-80.6,9.7922,3.3423,0,0,0,903.47,357.78,0.011577,0.00029493,NaN,23.482,NaN,0.1094,1178059,691.34,0.75689,0.44059,0.4539,0.21108,0.10795,0.12156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0047596,5,19.635,90,0,NaN,14.994,1013.1,340.39,0.00269,0.0025769
0.070857,1.064,39.206,753.91,39.206,753.91,0,0,0,0,0,0.75331,28.61,-80.6,9.7922,3.1736,0,0,0,902.43,356.74,0.011566,0.00029474,28.683,23.478,1.041,0.11536,1242224,689.69,0.83972,0.44079,0.4529,0.21106,0.10801,0.12173,0.3642,0.37923,-9.1188E-05,0,0,0,0,0,0.0050198,5,19.635,90,0,NaN,14.993,1013.1,340.38,0.004035,0.0026798
0.074892,1.2283,42.25,752.27,42.25,752.27,-6.2569E-06,0,6.2569E-06,-180,0.0031244,0.78801,28.61,-80.6,9.7922,2.9454,0,0.0020316,3.9303E-07,901.17,355.48,0.011553,0.00029451,28.721,23.474,1.0494,0.12429,1338374,687.22,0.97209,0.44112,0.45166,0.21101,0.1081,0.12201,0.33579,0.35201,-2.8265E-05,0,0,0,0,2.0181E-06,0.0054095,5,19.635,89.999,-0.013207,NaN,14.992,1013.1,340.38,0.0060525,0.0027743
0.080945,1.4978,46.808,749.78,46.808,749.78,-3.9599E-05,0,3.9599E-05,-180,0.0078645,0.76109,28.61,-80.6,9.7922,2.653,0,0.0053716,1.0827E-06,899.28,353.59,0.011533,0.00029417,28.771,23.467,1.0608,0.13766,1482359,683.52,1.189,0.44165,0.45033,0.21094,0.10825,0.12246,0.29989,0.3181,-0.00029587,0,0,0,0,1.15E-05,0.0059931,5,19.635,89.991,-0.0092519,NaN,14.99,1013.1,340.38,0.0090788,0.0028972
0.090024,1.9537,53.625,745.99,53.625,745.99,-0.00013997,0,0.00013997,-180,0.013877,0.52223,28.61,-80.6,9.7922,2.2922,0,0.011013,5.9319E-06,896.44,350.75,0.011502,0.00029366,28.835,23.456,1.0758,0.15768,1697763,677.96,1.5556,0.44256,0.44915,0.21081,0.10852,0.12323,0.25641,0.27627,-7.4138E-05,0,0,0,0,3.6852E-05,0.0068659,5,19.635,89.964,-0.021981,NaN,14.987,1013,340.38,0.013618,0.0030121
0.10364,2.7533,63.806,740.07,63.806,740.07,-0.00035543,-4.3908E-08,0.00035543,-179.99,0.015723,0.35356,28.61,-80.6,9.7922,1.8497,0,0.020766,1.539E-05,892.19,346.5,0.011457,0.00029289,28.919,23.44,1.0959,0.18757,2019487,670.91,2.1981,0.44414,0.44853,0.21059,0.10897,0.12457,0.2043,0.22341,0.00046586,0,0,0,0,9.2584E-05,0.0081694,5,19.635,89.887,-0.029857,NaN,14.982,1012.9,340.38,0.01461,0.0031103
0.11825,3.7648,74.662,730.87,74.662,730.87,-0.0004922,-2.6363E-07,0.0004922,-179.97,0.001352,2.0778,28.61,-80.6,9.7922,1.4318,0,0.032425,1.9237E-05,886.94,341.25,0.0114,0.00029194,29.005,23.42,1.1171,0.21945,2362537,660.38,3.0104,0.44612,0.44881,0.21032,0.10954,0.12626,0.15628,0.17461,-0.00019879,0,0,0,0,0.00016491,0.0095594,5,19.635,89.747,-0.0317,NaN,14.976,1012.8,340.37,0.013591,0.0032201
0.13184,4.8473,84.643,721.3,84.643,721.32,-0.00021145,-8.2994E-07,0.00021145,-179.78,0.045582,4.456,28.61,-80.6,9.7922,1.0722,0,0.043504,3.4509E-05,881.89,336.21,0.011346,0.00029103,29.083,23.4,1.1367,0.24876,2677896,648.46,3.8762,0.44823,0.44976,0.21003,0.11015,0.12804,0.11586,0.13138,5.2482E-05,0,0,0,0,0.00023103,0.010837,5,19.635,89.561,-0.030597,NaN,14.968,1012.7,340.37,0.013992,0.0033241
0.14583,6.1023,94.771,710.14,94.771,710.18,0.00096641,-2.0437E-06,0.00096641,-0.12116,0.13062,7.6557,28.61,-80.6,9.7922,0.71148,0,0.053883,2.9822E-05,877.12,331.43,0.011295,0.00029017,29.166,23.381,1.157,0.27852,2997895,635.21,4.8751,0.45063,0.45132,0.2097,0.11085,0.13008,0.076112,0.087516,-0.00045763,0,0,0,0,0.00028273,0.012134,5,19.635,89.315,-0.028262,NaN,14.96,1012.5,340.36,0.016683,0.0034232
0.16252,7.7824,106.65,695.07,106.65,695.18,0.0044303,-4.7536E-06,0.0044303,-0.061477,0.29823,12.269,28.61,-80.6,9.7922,0.29035,1.1544E-08,0.062681,0.00010406,871.8,326.12,0.011238,0.00028921,29.268,23.36,1.1817,0.31342,3373061,617.2,6.2077,0.4538,0.45392,0.20926,0.11177,0.13277,0.030703,0.036288,0.00037463,0,0,0,0,0.00030215,0.013655,5,19.635,88.963,-0.025273,NaN,14.949,1012.3,340.36,0.025024,0.003539
