Time(s),Altitude(ft),p,q,r,phi,theta,psi,Vertical Velocity(ft/s)
0,0,0,0,0,0,90,0,0
0.005001719,-0.000526132,0,-4.38E-23,0,0,90,0,-0.105226417
0.010003438,-0.002588076,0,-4.51E-22,0,0,90,0,-0.412388694
0.015005156,-0.007153231,0,-1.91E-21,0,0,90,0,-0.913031087
0.020006875,-0.01518961,0,-5.47E-21,0,0,90,0,-1.607275892
0.025008594,-0.027665835,0,-1.25E-20,0,0,90,0,-2.49524496
0.030010313,-0.045551133,0,-2.49E-20,0,0,90,0,-3.577059515
0.035012032,-0.06981438,0,-4.47E-20,0,0,90,0,-4.852649387
0.04001375,-0.10096274,0,-7.40E-20,0,0,90,0,-6.229672098
0.045015469,-0.139042327,0,-1.15E-19,0,0,90,0,-7.615917352
0.050017188,-0.184099266,0,-1.68E-19,0,0,90,0,-9.011387805
0.055018907,-0.236179696,0,-2.37E-19,0,0,90,0,-10.41608605
0.060020626,-0.295329769,0,-3.22E-19,0,0,90,0,-11.83001464
0.065022344,-0.36159565,0,-4.26E-19,0,0,90,0,-13.25317603
0.070024063,-0.435023513,0,-5.50E-19,0,0,90,0,-14.68557265
0.075025782,-0.515659547,0,-6.97E-19,0,0,90,0,-16.12720684
0.080027501,-0.603549952,0,-8.68E-19,0,0,90,0,-17.5780809
0.08502922,-0.698740937,0,-1.07E-18,0,0,90,0,-19.03819705
0.090030938,-0.801278724,0,-1.29E-18,0,0,90,0,-20.50755746
0.095032657,-0.911209545,0,-1.55E-18,0,0,90,0,-21.98616422
0.100034376,-1.028579642,0,-1.83E-18,0,0,90,0,-23.47401938
0.105036095,-1.153435267,0,-2.16E-18,0,0,90,0,-24.97112491
0.110037814,-1.28582268,0,-2.51E-18,0,0,90,0,-26.4774827
0.115039532,-1.425788153,0,-2.91E-18,0,0,90,0,-27.9930946
0.120041251,-1.573377965,0,-3.34E-18,0,0,90,0,-29.51796238
0.12504297,-1.728638404,0,-3.82E-18,0,0,90,0,-31.05208774
0.130044689,-1.891615765,0,-4.35E-18,0,0,90,0,-32.59547233
0.135046408,-2.062356354,0,-4.91E-18,0,0,90,0,-34.14811771
0.140048127,-2.240906481,0,-5.53E-18,0,0,90,0,-35.71002539
0.145049845,-2.427312465,0,-6.20E-18,0,0,90,0,-37.28119679
0.150051564,-2.621620631,0,-6.92E-18,0,0,90,0,-38.86163329
0.155053283,-2.823877312,0,-7.70E-18,0,0,90,0,-40.45133616
0.160055002,-3.034128845,0,-8.53E-18,0,0,90,0,-42.05030664
0.165056721,-3.252421575,0,-9.42E-18,0,0,90,0,-43.65854587
0.170058439,-3.478801849,0,-1.04E-17,0,0,90,0,-45.27605494
0.175060158,-3.713316024,0,-1.14E-17,0,0,90,0,-46.90283484
0.180061877,-3.956010456,0,-1.25E-17,0,0,90,0,-48.53888652
0.185063596,-4.20693151,0,-1.36E-17,0,0,90,0,-50.18421083
0.190065315,-4.466125553,0,-1.49E-17,0,0,90,0,-51.83880856
0.195067033,-4.733638955,0,-1.62E-17,0,0,90,0,-53.50268043
0.200068752,-5.009518091,0,-1.75E-17,0,0,90,0,-55.17582706
0.205070471,-5.293809336,0,-1.90E-17,0,0,90,0,-56.85824903
0.21007219,-5.58655907,0,-2.05E-17,0,0,90,0,-58.54994682
0.215073909,-5.887813674,0,-2.21E-17,0,0,90,0,-60.25092085
0.220075627,-6.197619531,0,-2.38E-17,0,0,90,0,-61.96117143
0.225077346,-6.516023025,0,-2.56E-17,0,0,90,0,-63.68069883
0.230079065,-6.843070542,0,-2.75E-17,0,0,90,0,-65.40950324
0.235080784,-7.178808465,0,-2.94E-17,0,0,90,0,-67.14758473
0.240082503,-7.523283182,0,-3.15E-17,0,0,90,0,-68.89494335
0.245084221,-7.876541077,0,-3.36E-17,0,0,90,0,-70.65157902
0.25008594,-8.238628535,0,-3.59E-17,0,0,90,0,-72.41749162
0.255087659,-8.60959194,0,-3.83E-17,0,0,90,0,-74.19268091
0.260089378,-8.989477673,0,-4.07E-17,0,0,90,0,-75.97714661
0.265091097,-9.378332114,0,-4.33E-17,0,0,90,0,-77.77088832
0.270092815,-9.776201642,0,-4.59E-17,0,0,90,0,-79.57390559
0.275094534,-10.18313263,0,-4.87E-17,0,0,90,0,-81.38619787
0.280096253,-10.59917145,0,-5.16E-17,0,0,90,0,-83.20776452
0.285097972,-11.02436448,0,-5.46E-17,0,0,90,0,-85.03860484
0.290099691,-11.45875807,0,-5.78E-17,0,0,90,0,-86.87871802
0.295101409,-11.90239858,0,-6.10E-17,0,0,90,0,-88.72810319
0.300103128,-12.35533238,0,-6.44E-17,0,0,90,0,-90.58675938
0.305104847,-12.81760581,0,-6.79E-17,0,0,90,0,-92.45468554
0.310106566,-13.28926521,0,-7.15E-17,0,0,90,0,-94.33188052
0.315108285,-13.77035693,0,-7.53E-17,0,0,90,0,-96.2183431
0.320110003,-14.26092729,0,-7.92E-17,0,0,90,0,-98.11407197
0.325111722,-14.76102262,0,-8.32E-17,0,0,90,0,-100.0190657
0.330113441,-15.27068923,0,-8.73E-17,0,0,90,0,-101.9333229
0.33511516,-15.78997344,0,-9.16E-17,0,0,90,0,-103.8568419
0.340116879,-16.31892154,0,-9.61E-17,0,0,90,0,-105.789621
