# Simulation 1 (Up to date)
# 543 data points written for 53 variables.
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Total velocity (ft/s),Total acceleration (ft/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (ft/s),Lateral acceleration (ft/s²),Latitude (°),Longitude (°),Gravitational acceleration (ft/s²),Angle of attack (°),Roll rate (r/s),Pitch rate (r/s),Yaw rate (r/s),Mass (oz),Propellant mass (oz),Longitudinal moment of inertia (lb·ft²),Rotational moment of inertia (lb·ft²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Reference length (in),Reference area (in²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (ft/s),Air temperature (°F),Air pressure (mbar),Speed of sound (ft/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,223.83,0,316.54,0,0,0,0,0,223.83,28.61,-80.6,32.127,0,0,0,0,81.002,13.417,6.1332,0.052699,NaN,27.976,NaN,0,0,237.46,0,1.224,1.224,1.0531,0.050888,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0053831
0.01,0.011192,2.2383,328.89,3.1654,465.12,0.011192,0,0.011192,0,2.2383,328.89,28.61,-80.6,32.127,0,0,0,0,81.002,13.417,6.1332,0.052699,NaN,27.976,NaN,0.0028345,75498,341.46,0.0019068,0.73334,0.73334,0.56245,0.050888,0.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.005829
0.02,0.050027,5.5291,315.22,7.8194,445.79,0.050027,0,0.050027,0,5.5291,315.22,28.61,-80.6,32.127,0,0,0,0,80.947,13.362,6.1301,0.052693,NaN,27.969,NaN,0.0070018,186498,327.71,0.0098181,0.6188,0.6188,0.4479,0.050889,0.12001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0062189
# Event LIFTOFF occurred at t=0.03 seconds
0.03,0.12109,8.6835,320.7,12.28,453.54,0.12109,0,0.12109,0,8.6835,320.7,28.61,-80.6,32.127,0,0,0,0,80.881,13.296,6.1265,0.052685,NaN,27.96,NaN,0.010996,292895,332.87,0.022475,0.5743,0.5743,0.40339,0.050891,0.12002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,59,1013.2,1116.8,0.01,0.0066512
0.04,0.22397,11.893,326.19,16.819,461.3,0.22397,0,0.22397,0,11.893,326.19,28.61,-80.6,32.127,0,0,0,0,80.816,13.231,6.1228,0.052677,NaN,27.952,NaN,0.01506,401141,338.04,0.040161,0.54711,0.54711,0.37619,0.050894,0.12003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.999,1013.2,1116.8,0.01,0.0070303
0.05,0.35921,15.157,331.68,21.435,469.06,0.35921,0,0.35921,0,15.157,331.68,28.61,-80.6,32.127,0,0,0,0,80.751,13.166,6.1192,0.052669,NaN,27.943,NaN,0.019194,511236,343.21,0.062951,0.52799,0.52799,0.35705,0.050897,0.12005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.999,1013.2,1116.8,0.01,0.0074178
0.06,0.52737,18.476,337.17,26.129,476.83,0.52737,0,0.52737,0,18.476,337.17,28.61,-80.6,32.127,0,0,0,0,80.686,13.101,6.1155,0.052661,NaN,27.935,NaN,0.023397,623182,348.38,0.090962,0.51345,0.51345,0.34248,0.050902,0.12007,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.998,1013.2,1116.8,0.01,0.0078209
0.07,0.729,21.85,341.04,30.9,482.31,0.729,0,0.729,0,21.85,341.04,28.61,-80.6,32.127,0,0,0,0,80.621,13.036,6.1119,0.052653,NaN,27.926,NaN,0.027669,736979,351.94,0.12434,0.50183,0.50183,0.33082,0.050907,0.1201,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.997,1013.2,1116.8,0.01,0.0082095
0.08,0.96456,25.262,338.24,35.726,478.34,0.96456,0,0.96456,0,25.262,338.24,28.61,-80.6,32.127,0,0,0,0,80.556,12.971,6.1082,0.052645,NaN,27.917,NaN,0.031991,852081,349.09,0.16304,0.49225,0.49225,0.32121,0.050913,0.12013,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3,7.0686,45,0,NaN,58.997,1013.2,1116.8,0.0091833,0.0086004
