time,altitude,mass
0.01,0.001434,1008.898426
0.02,0.00653,1008.598565
0.03,0.016436,1008.298705
0.04,0.032111,1007.878651
0.05,0.055081,1007.4113
0.06,0.086596,1006.864749
0.07,0.127102,1006.318197
0.08,0.17684,1005.771645
0.09,0.236051,1005.225094
0.1,0.304967,1004.658263
0.11,0.383757,1004.061013
0.12,0.472516,1003.463763
0.13,0.571324,1002.866513
0.139629,0.676037,1002.291419
0.148429,0.780002,1001.765867
0.156582,0.883428,1001.278926
0.164212,0.986447,1000.82321
0.171408,1.089147,1000.393439
0.182201,1.253359,999.748784
0.198392,1.52274,998.759133
0.222678,1.979367,997.206556
0.259107,2.784786,994.877692
0.30713,4.073098,991.798717
0.349667,5.432895,989.005754
0.396749,7.177218,985.909673
0.446749,9.304203,982.58647
0.496749,11.716923,979.263266
0.54431,14.279791,976.030612
0.571104,15.838769,974.208382
0.593513,17.206239,972.684329
0.614378,18.531479,971.258869
0.635366,19.915013,969.818544
0.658408,21.492341,968.237229
0.688659,23.655944,966.161155
0.734036,27.098379,963.049392
0.769294,29.935067,960.631869
0.789351,31.611288,959.256588
0.80766,33.180579,958.004793
0.826761,34.857328,956.702258
0.849637,36.918594,955.142219
0.883951,40.118161,952.80216
0.933951,45.009076,949.40227
0.954349,47.081351,948.017475
0.974431,49.164345,946.654204
1.001687,52.058999,944.806167
1.042571,56.544954,942.055969
1.083209,61.172539,939.322372
1.112353,64.593018,937.401857
1.156069,69.877318,934.582815
1.206069,76.13426,931.377666
1.240708,80.595099,929.253171
1.290708,87.208695,926.186544
1.339314,93.828961,923.275889
1.389314,100.826235,920.298911
1.439314,108.001334,917.492078
1.489314,115.337471,914.731494
1.539314,122.815617,912.17266
1.589314,130.419894,909.668665
1.639314,138.135994,907.354269
1.689314,145.947856,905.091408
1.739314,153.838212,903.059456
1.789314,161.789966,901.090268
1.839314,169.78753,899.26642
1.889314,177.820945,897.491986
1.939314,185.883503,895.839087
1.989314,193.965414,894.219224
2.039314,202.054941,892.764643
2.089314,210.141196,891.354989
2.139314,218.210726,890.275899
2.189314,226.239346,889.286664
2.239314,234.196554,888.735759
2.289314,242.054455,888.333883
2.339314,249.791068,888.207873
2.389314,257.395955,888.139865
2.398,258.703562,888.128051
2.411029,260.657343,888.128051
2.430573,263.570965,888.128051
2.45989,267.903503,888.128051
2.503864,274.318605,888.128051
2.553864,281.493842,888.128051
2.603864,288.546192,888.128051
2.653864,295.479117,888.128051
2.703864,302.29601,888.128051
2.753864,309.000158,888.128051
2.803864,315.594568,888.128051
2.853567,322.043883,888.128051
2.903567,328.428104,888.128051
2.953567,334.711074,888.128051
3.003567,340.895324,888.128051
3.053567,346.983183,888.128051
3.103567,352.976973,888.128051
3.153567,358.878965,888.128051
3.203567,364.691376,888.128051
3.253567,370.416305,888.128051
3.303567,376.055666,888.128051
3.353567,381.611311,888.128051
3.403567,387.085108,888.128051
3.453567,392.478853,888.128051
3.503567,397.794211,888.128051
3.553567,403.032736,888.128051
3.603567,408.19601,888.128051
3.653567,413.285577,888.128051
3.703567,418.302902,888.128051
3.753567,423.249333,888.128051
3.803567,428.126217,888.128051
3.853567,432.934949,888.128051
3.903567,437.67681,888.128051
3.953567,442.352954,888.128051
4.003567,446.964491,888.128051
4.053567,451.512616,888.128051
4.103567,455.998512,888.128051
4.153567,460.423208,888.128051
4.203567,464.787693,888.128051
4.253567,469.092887,888.128051
4.303567,473.339747,888.128051
4.353567,477.529318,888.128051
4.403567,481.662552,888.128051
4.453567,485.740282,888.128051
4.503567,489.763347,888.128051
4.553567,493.732546,888.128051
4.603567,497.648671,888.128051
4.653567,501.512549,888.128051
4.703567,505.324972,888.128051
4.753567,509.086676,888.128051
4.803567,512.79834,888.128051
4.853567,516.460638,888.128051
