time,altitude,vertical velocity,vertical acceleration,mass,drag cd
0.01,0.00334624,0.66933091,66.95793177,593.51191147,0.97930894
0.02,0.02103012,2.86771131,219.92277185,593.07186729,0.71936946
0.03,0.06424451,5.77584432,291.01516747,592.20903484,0.63739955
0.04,0.13727352,8.83063703,305.68200242,591.34620239,0.59651707
0.05,0.24158484,12.03230702,320.36938988,590.48336994,0.5713932
0.05831096,0.35311831,14.8066657,333.79248484,589.76627351,0.5714789
0.06506467,0.46090192,17.11181955,341.43909926,589.13129793,0.57156368
0.07090859,0.56675336,19.11456185,342.81545595,588.57672464,0.57164724
0.0761402,0.67145905,20.9136437,343.98432947,588.08025717,0.57173018
0.08092177,0.77540212,22.56304565,345.03799828,587.62649797,0.57181277
0.08535379,0.87879936,24.09619123,346.00429447,587.20590944,0.57189516
0.08950383,0.98178584,25.53553872,346.90120099,586.81208131,0.57197744
0.09341994,1.08445164,26.89706701,347.74118042,586.44045186,0.57205966
0.0992941,1.24846387,28.94517692,348.794589,585.88300769,0.5721914
0.10810535,1.51709253,32.02958636,350.2363491,585.03307981,0.57240803
0.12132223,1.97115083,36.68087368,352.17334952,583.75639024,0.57277618
0.14114754,2.76802664,43.71212246,354.99039818,581.84115229,0.57342741
0.17088551,4.22630339,54.36884318,358.72872431,578.92756421,0.57463178
0.21549246,7.01245046,70.55932513,363.22703491,574.51809846,0.57696308
0.26549246,10.999429,88.91891112,366.99935223,569.52077691,0.58033775
0.31549246,15.91170998,107.56258309,372.21536906,564.4336468,0.5845619
0.36549246,21.76476648,126.54194389,378.44237057,559.25464644,0.58968885
0.41549246,28.56521351,145.4495307,376.47696827,554.05291942,0.59562702
0.46549246,36.30359601,164.05041661,369.80410512,548.87955951,0.60227957
0.51549246,44.9577254,182.07068615,357.667948,543.7975862,0.60949337
0.56549246,54.4962587,199.41847059,343.73509481,538.80347874,0.61715495
0.61549246,64.8875831,216.17449152,331.43074194,533.87894169,0.62522517
0.66549246,76.09477008,232.04662608,313.38038679,529.06674086,0.63347919
0.71549246,88.06781828,246.80446338,290.83714652,524.42911227,0.6416883
0.76549246,100.74703097,260.2906068,265.23412337,520.08524866,0.64964349
0.81549246,113.98207442,269.05708708,172.00580271,516.69001735,0.65505511
0.86549246,127.50045071,271.6610114,51.04739557,514.59803211,0.65671527
0.87815249,130.93919528,271.58341417,-6.07339499,514.25877636,0.65667254
0.89714254,136.09030383,270.90494057,-36.41637606,513.92201273,0.65624279
0.91254482,140.25441121,269.81802271,-69.58528915,513.65524339,0.65558501
0.92857651,144.56878668,268.41593684,-86.82580768,513.55838315,0.65471164
0.95262405,150.99589766,266.11834438,-94.81023982,513.41309279,0.65329215
0.97166478,156.04440896,264.17457908,-101.1130779,513.36130517,0.65210973
1.00022586,163.54685117,261.19500102,-103.13042965,513.29501151,0.6503008
1.03188913,171.7632332,257.80457859,-105.62080025,513.26843025,0.64827241
1.036,172.82211632,257.35827331,-108.37058924,513.26497918,0.64800799
1.0421663,174.40700237,256.68961807,-108.14311192,513.26497918,0.64761132
1.05141576,176.77662843,255.6933988,-107.27029437,513.26497918,0.64702222
1.06528995,180.3138831,254.21406914,-105.98335884,513.26497918,0.64615166
1.08610122,185.58158835,252.02809745,-104.10183348,513.26497918,0.64487445
1.11731814,193.39885136,248.82109429,-101.38402894,513.26497918,0.64302055
1.16414352,204.9402766,244.16501704,-97.52836249,513.26497918,0.64037096
1.21414352,217.02824904,239.38595882,-93.67848034,513.26497918,0.63770334
1.26414352,228.88197307,234.79295725,-90.08355407,513.26497918,0.63518908
1.31414352,240.51044644,230.37404226,-86.71257112,513.26497918,0.63281579
1.36049282,251.09604925,226.42365694,-83.78132236,513.26497918,0.63073219
1.41049282,262.31377365,222.31016612,-80.79427299,513.26497918,0.62860047
1.46049282,273.32947574,218.34128583,-77.98983742,513.26497918,0.62658057
1.51049282,284.15017178,214.50858467,-75.34512313,513.26497918,0.62466425
1.56049282,294.78247357,210.80427049,-72.8511861,513.26497918,0.62284415
1.61049282,305.23261883,207.22117866,-70.49447978,513.26497918,0.62111354
1.66049282,315.50650111,203.75269044,-68.26520033,513.26497918,0.61946631
1.71049282,325.60969559,200.39268545,-66.15370527,513.26497918,0.6178969
1.76049282,335.54748286,197.13549135,-64.15144534,513.26497918,0.61640021
1.81049282,345.3248702,193.97584259,-62.25067231,513.26497918,0.61497157
1.86049282,354.94661102,190.90884345,-60.44434835,513.26497918,0.6136067
1.91049282,364.41722249,187.92993499,-58.72602855,513.26497918,0.61230166
1.96049282,373.74100163,185.03486556,-57.08986183,513.26497918,0.61105283
2.01049282,382.92203999,182.21966433,-55.53046995,513.26497918,0.60985686
2.06049282,391.96423713,179.4806179,-54.04289213,513.26497918,0.60871066
2.11049282,400.87131291,176.81424895,-52.6226426,513.26497918,0.60761139
2.16049282,409.64681883,174.21729701,-51.26556012,513.26497918,0.60655638
2.21049282,418.29414842,171.68670159,-49.96777724,513.26497918,0.60554319
2.26049282,426.81654688,169.21958674,-48.7257773,513.26497918,0.60456953
2.31049282,435.21711988,166.81324605,-47.53628292,513.26497918,0.60363329
2.36049282,443.4988418,164.46513088,-46.39629059,513.26497918,0.60273248
2.41049282,451.66456324,162.1728378,-45.3029497,513.26497918,0.60186527
2.46049282,459.71701807,159.93409925,-44.25369546,513.26497918,0.60102994
2.51049282,467.65882994,157.74677226,-43.24610021,513.26497918,0.60022487
2.56049282,475.49251831,155.60883083,-42.27791357,513.26497918,0.59944857
2.61049282,483.2205041,153.51835779,-41.34704217,513.26497918,0.59869963
2.66049282,490.84511489,151.47353671,-40.45152708,513.26497918,0.59797672
2.71049282,498.36858987,149.4726456,-39.58954577,513.26497918,0.59727862
2.76049282,505.79308404,147.51403081,-38.7603713,513.26497918,0.59660415
2.81049282,513.12067098,145.59610313,-37.96161757,513.26497918,0.59595221
2.86049282,520.3533479,143.71739097,-37.19151195,513.26497918,0.59532177
2.91049282,527.49304034,141.87649718,-36.44866283,513.26497918,0.59471186
2.96049282,534.54160571,140.07209164,-35.73177528,513.26497918,0.59412158
3.01049282,541.50083649,138.30290737,-35.03961069,513.26497918,0.59355006
3.06049282,548.37246332,136.56773751,-34.37101828,513.26497918,0.5929965
3.11049282,555.15815792,134.86543026,-33.7249322,513.26497918,0.59246013
3.16049282,561.85953571,133.1948865,-33.10031412,513.26497918,0.59194023
3.21049282,568.47815844,131.55505693,-32.49620527,513.26497918,0.5914361
3.26049282,575.01553657,129.94493918,-31.91170243,513.26497918,0.59094711
3.31049282,581.47313155,128.3635742,-31.34595907,513.26497918,0.59047264
3.36049282,587.85235789,126.81004459,-30.79814887,513.26497918,0.5900121
3.41049282,594.15458528,125.2834729,-30.26751937,513.26497918,0.58956494
3.46049282,600.38114045,123.78301853,-29.75334795,513.26497918,0.58913065
3.51049282,606.53330898,122.30787557,-29.25494899,513.26497918,0.58870871
3.56049282,612.61233698,120.85727175,-28.77167428,513.26497918,0.58829867
3.61049282,618.61943278,119.43046644,-28.30291188,513.26497918,0.58790006
3.66049282,624.5557684,118.02674867,-27.8480784,513.26497918,0.58751245
3.71049282,630.42248104,116.64543582,-27.40662411,513.26497918,0.58713546
3.76049282,636.22067446,115.2858723,-26.97802406,513.26497918,0.58676867
3.81049282,641.95142025,113.94742799,-26.56177768,513.26497918,0.58641173
3.86049282,647.61575913,112.62949691,-26.1574166,513.26497918,0.58606427
3.91049282,653.21470211,111.33149636,-25.76448244,513.26497918,0.58572597
3.96049282,658.74923159,110.05286583,-25.38254724,513.26497918,0.58539651
4.01049282,664.22030252,108.79306545,-25.01121091,513.26497918,0.58507556
4.06049282,669.6288433,107.5515751,-24.65008259,513.26497918,0.58476285
4.11049282,674.97575684,106.32789379,-24.29879011,513.26497918,0.5844581
4.16049282,680.26192144,105.12153867,-23.9569758,513.26497918,0.58416102
4.21049282,685.48819171,103.93204437,-23.62430289,513.26497918,0.58387138
4.26049282,690.6553994,102.75896179,-23.3004552,513.26497918,0.58358891
4.31049282,695.76435419,101.6018574,-22.98512638,513.26497918,0.5833134
4.36049282,700.81584446,100.46031272,-22.67801778,513.26497918,0.5830446
4.41049282,705.81063805,99.33392381,-22.37884934,513.26497918,0.58278232
4.46049282,710.74948294,98.22230056,-22.08734808,513.26497918,0.58252633
4.51049282,715.63310792,97.12506589,-21.8032643,513.26497918,0.58227645
4.56049282,720.46222326,96.04185517,-21.52635256,513.26497918,0.58203247
4.61049282,725.23752129,94.97231574,-21.25637475,513.26497918,0.58179423
4.66049282,729.959677,93.91610655,-20.99310361,513.26497918,0.58156154
4.71049282,734.62934861,92.87289777,-20.73632173,513.26497918,0.58133424
4.76049282,739.24717812,91.84237007,-20.48582754,513.26497918,0.58111216
4.81049282,743.81379182,90.82421421,-20.24141867,513.26497918,0.58089515
4.86049282,748.32980075,89.81813057,-20.00290683,513.26497918,0.58068306
4.91049282,752.79580124,88.82382888,-19.77010919,513.26497918,0.58047575
4.96049282,757.21237532,87.84102797,-19.54284549,513.26497918,0.58027307
